"size","Time","tree"
4.53,152,1
5.05,174,1
5.18,201,1
5.41,227,1
5.42,258,1
4.97,152,2
5.32,174,2
5.83,201,2
6.29,227,2
6.45,258,2
4.37,152,3
4.81,174,3
5.03,201,3
5.19,227,3
5.4,258,3
4.58,152,4
4.99,174,4
5.37,201,4
5.68,227,4
5.93,258,4
4,152,5
4.5,174,5
4.92,201,5
5.44,227,5
5.87,258,5
4.73,152,6
5.05,174,6
5.33,201,6
5.92,227,6
6.01,258,6
5.15,152,7
5.63,174,7
6.11,201,7
6.39,227,7
6.61,258,7
4.1,152,8
4.46,174,8
4.84,201,8
5.29,227,8
5.48,258,8
3.22,152,9
3.85,174,9
4.47,201,9
4.85,227,9
5.11,258,9
2.23,152,10
2.89,174,10
3.16,201,10
3.4,227,10
3.52,258,10
3.65,152,11
4.36,174,11
4.76,201,11
5.18,227,11
5.44,258,11
3.4,152,12
3.92,174,12
4.5,201,12
4.97,227,12
5.14,258,12
5.16,152,13
5.49,174,13
5.74,201,13
6.05,227,13
6.21,258,13
4.04,152,14
4.52,174,14
5.15,201,14
5.59,227,14
5.87,258,14
4.52,152,15
4.91,174,15
5.04,201,15
5.71,227,15
5.97,258,15
4.56,152,16
5.12,174,16
5.4,201,16
5.69,227,16
5.89,258,16
4.9,152,17
5.35,174,17
5.71,201,17
6.12,227,17
6.25,258,17
4.83,152,18
5.1,174,18
5.43,201,18
5.59,227,18
6.04,258,18
5.46,152,19
5.79,174,19
6.12,201,19
6.41,227,19
6.63,258,19
4.17,152,20
4.67,174,20
5.16,201,20
5.56,227,20
5.75,258,20
3.35,152,21
4.05,174,21
4.51,201,21
5.22,227,21
5.44,258,21
3.33,152,22
3.82,174,22
4.38,201,22
4.99,227,22
5.17,258,22
3.41,152,23
3.68,174,23
4.03,201,23
4.28,227,23
4.54,258,23
4.5,152,24
4.8,174,24
5.28,201,24
5.83,227,24
6.16,258,24
2.99,152,25
3.61,174,25
4.48,201,25
4.91,227,25
5.06,258,25
