"species","sex","basilar.length","occipitonasal.length","palate.length","palate.width","nasal.length","nasal.width","squamosal.depth","lacrymal.width","zygomatic.width","orbital.width",".rostral.width","occipital.depth","crest.width","foramina.length","mandible.length","mandible.width","mandible.depth","ramus.height"
"giganteus","Male",1315,1367,895,230,564,207,158,394,801,224,242,568,116,79,1090,132,189,594
"giganteus","Male",1294,1421,872,239,606,226,155,396,780,237,238,577,149,101,1084,124,168,578
"giganteus","Male",1377,1504,954,248,660,240,159,417,812,240,245,614,128,91,1149,129,175,628
"giganteus","Male",1470,1563,987,236,672,231,185,429,856,227,268,659,103,94,1240,132,196,683
"giganteus","Male",1388,1500,936,227,616,220,150,412,805,236,249,628,107,85,1179,132,180,652
"giganteus","Male",1587,1711,1115,293,778,279,184,461,910,234,282,673,81,75,1339,135,207,692
"giganteus","Male",1604,1770,1132,268,823,272,173,474,880,249,258,702,57,109,1361,140,208,713
"giganteus","Male",1630,1703,1122,294,755,268,190,467,902,261,314,710,81,104,1377,137,206,754
"giganteus","Male",1702,1860,1270,332,864,306,221,513,947,239,315,765,39,137,1526,138,218,776
"giganteus","Female",1262,1367,855,211,575,200,145,386,760,226,220,569,164,72,1059,113,164,578
"giganteus","Female",1414,1517,971,256,659,229,197,433,853,233,264,664,131,94,1215,139,200,660
"giganteus","Female",1427,1487,978,221,646,210,173,402,823,238,242,589,125,99,1198,128,169,649
"giganteus","Female",1575,1667,1105,285,756,249,185,467,903,233,301,722,104,117,1324,147,198,731
"giganteus","Female",1462,1516,1016,255,687,223,190,432,873,222,286,663,135,105,1258,131,205,688
"giganteus","Female",1546,1621,1072,275,729,238,180,445,914,251,272,672,80,93,1344,137,204,735
"giganteus","Female",1512,1567,1052,287,695,251,183,439,885,235,271,646,82,67,1297,135,203,709
"giganteus","Female",1464,1573,1037,286,717,258,182,450,848,205,262,625,70,118,1235,124,180,659
"giganteus","Female",1570,1618,1064,294,725,261,160,455,894,212,302,684,74,103,1355,141,206,706
"giganteus","Female",1607,1647,1118,276,741,261,184,475,911,222,306,699,95,97,1370,139,218,733
"melanops","Male",1299,1345,895,219,565,204,163,385,764,235,215,542,153,93,1054,118,156,556
"melanops","Male",1337,1395,910,234,562,216,145,404,794,272,236,577,154,102,1094,122,158,625
"melanops","Male",1474,1555,989,239,629,211,170,433,888,251,253,662,134,91,1225,144,205,716
"melanops","Male",1503,1603,1031,259,692,238,152,454,825,220,268,638,83,95,1264,141,203,712
"melanops","Male",1893,1945,1315,267,893,260,213,499,994,234,345,754,13,92,1568,163,216,824
"melanops","Female",1389,1486,931,245,625,203,152,411,801,245,242,587,125,114,1164,123,166,645
"melanops","Female",1470,1583,1000,211,690,242,166,451,855,249,271,634,129,80,1209,138,210,708
"melanops","Female",1452,1592,973,236,694,236,176,461,855,261,240,656,140,87,1210,143,194,695
"melanops","Female",1444,1552,972,217,667,261,156,467,869,262,251,650,176,105,1194,138,197,704
"melanops","Female",1499,1606,1028,275,699,254,177,439,835,254,264,650,112,91,1243,125,200,668
"melanops","Female",1505,1569,1042,220,703,207,164,433,843,230,266,629,127,88,1228,136,194,709
"melanops","Female",1553,1607,1059,235,675,259,203,484,882,239,294,698,140,117,1314,135,212,722
"fuliginosus","Male",1382,1493,928,230,573,231,169,427,861,261,250,618,151,98,1162,133,186,640
"fuliginosus","Male",1391,1430,950,256,551,202,176,421,886,260,252,646,140,106,1187,146,202,688
"fuliginosus","Male",1716,1688,1158,249,698,247,192,471,972,290,300,687,189,88,1450,160,236,799
"fuliginosus","Male",1562,1580,1076,295,638,240,177,455,925,243,272,675,118,80,1320,154,217,753
"fuliginosus","Male",1477,1486,1001,244,590,206,155,402,867,242,268,639,160,88,1245,147,185,672
"fuliginosus","Male",1568,1601,1095,262,628,250,205,504,932,265,290,719,115,96,1367,159,223,777
"fuliginosus","Male",1680,1668,1151,293,685,255,224,479,1032,213,337,728,78,76,1466,158,214,835
"fuliginosus","Male",1653,1701,1151,299,734,239,215,490,1004,239,319,742,126,94,1408,169,209,836
"fuliginosus","Female",1271,1334,859,211,503,171,152,381,824,240,216,563,199,70,1078,130,181,634
"fuliginosus","Female",1248,1286,827,236,494,196,154,380,804,230,227,574,169,72,1046,131,170,616
"fuliginosus","Female",1271,1355,855,212,522,190,138,374,799,247,215,585,167,90,1058,132,179,629
"fuliginosus","Female",1317,1311,891,198,497,167,152,390,807,226,237,609,155,93,1073,130,178,648
"fuliginosus","Female",1363,1430,926,227,578,217,167,408,844,234,249,603,153,73,1163,129,194,654
"fuliginosus","Female",1395,1426,942,240,571,222,182,430,853,228,259,650,138,79,1199,148,202,700
"fuliginosus","Female",1385,1399,945,215,553,191,156,386,827,217,247,585,137,98,1156,134,190,642
"fuliginosus","Female",1464,1496,1008,226,636,230,183,436,897,234,264,646,172,78,1263,150,216,715
"fuliginosus","Female",1468,1536,996,264,667,222,190,431,951,217,305,650,178,82,1287,141,199,736
"fuliginosus","Female",1510,1546,1043,264,656,218,197,423,891,190,270,651,78,87,1337,158,210,747
"fuliginosus","Female",1570,1583,987,285,646,244,198,482,984,253,291,699,188,103,1354,153,223,807
