"","temp3pm","day_of_year"
"1",19.6,336
"2",23.2,21
"3",15.4,150
"4",18.5,196
"5",15.8,175
"6",19.4,135
"7",24.8,48
"8",17.7,211
"9",18.1,256
"10",20.4,218
"11",15.7,179
"12",19,359
"13",24.2,10
"14",16.7,125
"15",25.4,21
"16",17.7,211
"17",20.9,340
"18",12.6,238
"19",18.9,245
"20",26.2,57
"21",22.9,112
"22",16.5,333
"23",13.5,157
"24",15.5,233
"25",14.8,188
"26",16.4,208
"27",23.4,340
"28",21.6,89
"29",15.7,235
"30",17.3,117
"31",18.9,235
"32",15.4,224
"33",22.1,336
"34",20.7,278
"35",18.4,254
"36",21.8,352
"37",20,121
"38",22.3,58
"39",19.9,324
"40",20.2,314
